Post_Title,Description,Post_Category,Borough,Location,Post_Price,Sqft,Private Room,Private Bath,Laundry,Parking,Bedrooms,Bathrooms,Success
Perfect solution for Multi-local Cozy 2 BD Fully Furnished Apt. in Bedford Stuyvesant,"Beautiful Brooklyn apartment as a Hybrid Work or Ghost roommate Solution. The apartment is available as a Split Lease or Reverse Lease. Perfect for a commuter or hybrid worker who needs to be in the city for just part time. Just pay for the nights you are there. The place is available to be booked on Split Lease too, but the price will be cheaper on Craigslist.

Beautifully furnished. Contains everything you need to enjoy your stay. It is close to a lot of restaurants and public transport. Kitchen includes a microwave, stove, oven, and refrigerator. Let me know if you have any questions about the space.

Just let me know a little about yourself and your situation when reaching out. There would be a 30 night minimum for the initial booking. The nightly price will vary slightly depending on your unique situation. I can be flexible in terms of amending dates after the initial booking. 
",vacation rentals,brooklyn,,2100,0,TRUE,TRUE,no laundry on site,street parking,2,1,1
Tired of Hotels? 1 BD Garden Apartment in the Heart of Harlem,"Gorgeous one bedroom apartment with private garden. The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.

Apartment has a full kitchenette and bath, dishwasher, onsite laundry facilities, wireless Internet and TV. Perfect for sharing - the apartment has 2 queen beds, 1 twin portable bed, and 2 double sleeper sofas in the living room.

One block to Whole Foods, convenience stores, and take-out restaurants. Just let me know a little about yourself and your situation when reaching out. There would be a 30 night minimum for the initial booking. The nightly price will vary slightly depending on your unique situation. I can be flexible in terms of amending dates after the initial booking. I’m also on Split Lease, but the price will be about 10% cheaper here on Craigslist.
",rooms & shares,manhattan,Harlem / Morningside,1000,0,TRUE,TRUE,laundry on site,street parking,1,1,1
"Pay Per Night Fully Renovated Spacious Jersey City Apartment
","Jersey’s City Room available to Split Lease! The space is in a great location and is just minutes from NYC. I am looking for someone who would need space for part of the week each week, like Mon-Fri each week. The nightly price would vary depending on your unique situation.

The space would be empty during the time you are away, unless I find a renter with complimentary nights. I would be happy to provide secured storage for you to leave some things in the space during the time you are away. 

Beautiful brownstone in Historic District in downtown Jersey City. Walkable to train, bus, and ferry. 3 blocks to Grove Street PATH train (7 minute train to New York city) . 1-3 block walk to everything: food stores, restaurants, parks, and shopping!

***Virtual 3D tour available*** (cut and paste this link to your browser):
https://my.matterport.com/show/?m=sYpCdq2PPqZ

- This stylish 1Bedroom/1Bathroom apartment is located on the 2nd floor.
- Washer and dryer located on ground floor.

The apartment features new furniture & appliances and equipped with :
- Pots, pans, cooking utensils, dishes, glassware etc.
- Coffee maker
- Toaster
- Microwave
- 2 SMART HDTVs with access to Netflix, HULU, HBO Max and hundreds of other streaming applications.
- High Speed Wifi wireless Internet
- Queen Size bed firm comfort mattress in the bedroom
- Brand new Bed Linens and Towels and other essentials.

You can find my listing on Split Lease too, but the price will be cheaper on Craigslist. I can be flexible, so if you think this space would work for you, don’t hesitate to reach out.
",sublets & temporary,new jersey,,2200,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
Cozy Home Feel 2 BD Studio Apartment in Tribeca for a Multi-local,"The apartment is furnished, outfitted, well equipped and located in lower Manhattan’s high profile Tribeca neighborhood. The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

We are one flight up on the 2nd floor (no elevator) in a small quiet residential building located on an iconic Tribeca block, Adjacent to SOHO/Greenwich Village. Financial center, Lower East Side and Chelsea. When requesting in/out dates kindly tell us some specifics/details about your  intended visit, # guests, singles or couples, purpose of visit, where are you coming from, or if relocating. Rates change seasonally. 

Studio, check photos consists of an 900 sq ft loft apartment with 2 separate sleeping areas, living room & dining area, outfitted kitchen and spacious full bath. One sleeping area  has 1 queen bed and another 2nd sleeping area has a bunk bed unit with 2 single beds, one over the other adjacent to the living area. Accommodates -3, or a couple with a child or friend. 

Location is a low density area in one of lower Manhattan's most desirable zip codes. This foot/family friendly 19th century downtown historic district boasts wide cobblestone streets and is near both the art galleries in Tribeca & Chelsea and boutique shopping in nearby SOHO. Tribeca has some of the best award winning 4* chef owned restaurants. Walk to nearby Soho, Chelsea Chinatown, the Financial district and Greenwich Village. 4 blocks from Hudson River Promenade, with miles of uninterrupted biking /jogging paths in a traffic free zone along the Hudson River. There are many waterfront parks with a children's playground. Subway/bus 1 block away, with taxis/public metro nearby.+ uber  Supermarket/ shopping pharmacy within walking distance.

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.
",vacation rentals,manhattan,Lower East Side,2500,0,TRUE,TRUE,laundry on site,street parking,2,1,1
"Cozy and Lovely Apt in Park Slope, Brooklyn w/Gorgeous Garden for a Multi-local","Lovely, spotless garden apt. in a historic house in Park Slope (""Best Neighborhood""). CLEAN, SAFE & QUIET. 2 mins to good subways. I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space.

Beautiful, large patio & gorgeous garden. ROOMS AVAILABLE UPSTAIRS ALSO, please ask. Near gorgeous Prospect Park, inexpensive gym, great restaurants, organic Supermarket. Kid items available.

This is 2 Bedrooms, (King bedroom + middle room with double bed ). But you must walk through the middle room to get to the bathroom and kitchen so it's not completely private. You can use a curtain to close off. Best for good friends or family to share.
Washer/Dryer (occasionally used by me when you are not there). Full kitchen, well stocked.

I am on Split Lease too, but I can give a cheaper price through Craigslist.
",,brooklyn,,2800,0,TRUE,TRUE,w/d in unit,street parking,2,1,1
HYBRID WORK Quiet and Cozy 1 BD w/Den in New Jersey City,"This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

This property is a two family building. You will have the entire 2nd floor to yourself. The apt is a one bedroom with den, fully furnished and equipped with everything you need. There is a Queen size bed in the Master Bedroom and the Den features a pull out sofa bed. It's full size with a gel foam mattress, so it's very comfortable. Everything is brand new and has been professionally sterilized, treated and cleaned.

If you are looking for a work stay with different terms (not weekdays each week), please reach out. Booking will be 10% cheaper through Craigslist compared to Split Lease. The unit has all utilities, internet and television included (heating, water, security, Wifi, Netflix, Disney+, Local Tv, plus 1000 channels).",,new jersey,,1140,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
"Tired of Hotels? Stay at This Brooklyn Cozy Oasis 1BD 1BTH
","This is a newly renovated 1 bedroom/1 bathroom 900 sq. ft. unit. I’m seeking a ghost roommate situation in which someone would just need to be in the space for part of the week. You could leave some things to come back to each week and I would charge a nightly rate. This rate would be dependent on your total number of nights booked. I typically offer discounts for longer term/stays with more nights. Be sure to let me know if you have any questions, I’d be happy to chat. Also, don’t hesitate to reach out, I have flexibility in price and schedule. I can offer a discount here on Craigslist compared to Split Lease.

This unit boasts separate living and bedroom areas. Amenities include dishwasher, in unit washer/dryer, Roku TV, free Wifi, water/gas etc. We take cleanliness seriously. We contract with a professional cleaning agency that follows strict cleaning and disinfection protocol.
",,brooklyn,,1980,900,TRUE,TRUE,w/d in unit,street parking,1,1,1
"Hybrid work? I gotchu Luxury and Comfort Manhattan Room
","Perfect commute solution for those that work near Midtown. This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

A little about the space: This private bedroom is in a 2 bedroom, 1 bathroom, 1100 sq ft residence and you are renting 1 private bedroom. You have your own unit but it is not a private apartment. It is a 100 year old, Pre-War, medium-rise, classic New York City building. It has 2 elevators and there laundry facilities on the premises. Your private bedroom is a large, King-sized bedroom with a Queen-sized bed that sleeps 2 incredibly comfortably. It has great 12' ceilings. Complete with a full size bathroom and a full kitchen for the apartment. It is located in the exact center of Manhattan, just a few blocks from Times Square, Rockefeller Center, the Theatre District and Central Park, you can not get a better location in all of Manhattan and it is one of the finest and safest neighborhoods in all New York. Please don't hesitate to ask if you have any concerns or questions. Booking will be 10% cheaper through Craigslist compared to Split Lease. Thank you very much.
",,manhattan,Midtown,11320,0,TRUE,FALSE,laundry in bldg,street parking,1,1,1
"Work Stay Cozy Own Private Entrance Brand New Studio in Brooklyn 
","Brand new studio near Kings County, Clean, cozy, and really quiet environment. It has its own private entrance and it’s fully furnished with all the amenities needed.

I’m seeking a ghost roommate situation in which someone would just need to be in the space for part of the week. You could leave some things to come back to each week and I would charge a nightly rate. This rate would be dependent on your total number of nights booked. I typically offer discounts for longer term/stays with more nights. Be sure to let me know if you have any questions, I’d be happy to chat. Also, don’t hesitate to reach out, I have flexibility in price and schedule. I can offer a discount here on Craigslist compared to Split Lease.

Essentials (Kitchenware Bathware Linens)
Air Conditioning
TV
Cable TV
Smoke Detector
Carbon Monoxide Detector
WiFi
Close to public transportation
Stairs at Entrance and/or Inside the Property
Kitchen
Full-size fridge
Non-Smoking
Pets live on this property
Free Parking on Premises
Private Parking available right at the entrance of the unit.
B 12 bus or B 35 bus to 2 and 5 train
",,brooklyn,,1800,0,TRUE,TRUE,no laundry on site,street parking,0,1,1
"Work Stay Cozy Own Private Entrance Brand New Studio in Brooklyn 
","Brand new studio near Kings County, Clean, cozy, and really quiet environment. It has its own private entrance and it’s fully furnished with all the amenities needed.

I’m seeking a ghost roommate situation in which someone would just need to be in the space for part of the week. You could leave some things to come back to each week and I would charge a nightly rate. This rate would be dependent on your total number of nights booked. I typically offer discounts for longer term/stays with more nights. Be sure to let me know if you have any questions, I’d be happy to chat. Also, don’t hesitate to reach out, I have flexibility in price and schedule. I can offer a discount here on Craigslist compared to Split Lease.

Essentials (Kitchenware Bathware Linens)
Air Conditioning
TV
Cable TV
Smoke Detector
Carbon Monoxide Detector
WiFi
Close to public transportation
Stairs at Entrance and/or Inside the Property
Kitchen
Full-size fridge
Non-Smoking
Pets live on this property
Free Parking on Premises
Private Parking available right at the entrance of the unit.
B 12 bus or B 35 bus to 2 and 5 train
",,brooklyn,,1800,0,TRUE,TRUE,no laundry on site,street parking,0,1,1
GHOST ROOMMATE Home Feel 1bd 1br Brownsville Apartment,"Excellent location for a repeat rental. This is a ghost roommate situation. I would like someone to be in the space for up to 6 nights per week. You would just pay by the week for the nights you are there. I can provide a discount for longer stays. Be sure to give me some information about yourself and your situation when reaching out. There would be a 30 night minimum for the initial booking. I can provide some flexibility for you to rearrange your dates after booking too! So don’t feel you have to know all the nights you need up front.

LOCATION Within walking distance to TWO (2) OF Brooklyn major hospital , great restaurants , shopping , park for all recreation ( tennis, basketball, running and relaxing)

Let me know if you have any questions about the space. The price will be 10% lower when going through Craigslist rather than Split Lease.
",,brooklyn,,2100,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
REPEAT LISTING of a Furnished and Spacious 1BD in Astoria,"The apartment is a beautiful apartment located in the amazing Astoria. The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

✓ 2 blocks away from Astoria Blvd station, which will take you straight to Manhattan in half an hour. Buses are coming and going very often and I have never had any issues. The lines are N and W, with easy transfers in Queensboro, Lexington, Times sq, and more!
✓4 blocks away from the beautiful Astoria Park, where you will find tennis courts, a great running track, amaIng water views, a pool, etc.
✓Walking distance to Ditmars restaurants and a 15 min walk to 30th Ave and Stainway area.
✓TJMaxx walking distance
✓Super safe area. I walk at night and it's pretty safe.

✓Building has a responsive super
✓Entrance to the building is super safe, with a personal code to enter.
✓Clean and quiet building. Pet friendly
✓Laundromat next door, never crowded.

✓Very bright apartment
✓Most of the furniture is almost new. The couch has a pullover bed for guests.
✓Spectrum High speed internet included
✓Water and Electric bill included

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.
",,queens,,1380,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
Pay Per Night 1 Spacious Bedroom in Midtown West w/Beautiful Views,"I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly prices would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space.

Fully furnished one bedroom apartment in an elevator building in Midtown West. Apartment could be for 2. Rent includes all utilities including WiFi, cable and 2 mounted flat screen TVs. Kitchen comes with all appliances and utensils. Bedroom has a queen size bed, dresser and enough closet space. Living room area has a queen size pull out couch. There is a laundry room in the building. Building also has a roof deck with great New York City views.

I am on Split Lease too, but I can give a cheaper price through Craigslist.
",,manhattan,Midtown West,2700,0,TRUE,TRUE,laundry in bldg,no parking,1,1,1
Part of the week Rental Modern and Spacious Central Harlem’s Private Space,"Fully furnished, very large and bright bedroom with its own bathroom and separated toilet in the bedroom, located on the second floor of our 4 floors townhouse in Central Harlem. The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

Very conveniently located near the subway lines 2/3 and ABCD, you can get anywhere in Manhattan very easily. Bars, restaurants and stores around the corner. Supermarket 5 minutes away. 

Be sure to let me know if you have any questions, I’d be happy to chat. Also, don’t hesitate to reach out, I have flexibility in price and schedule. I can offer a discount here on Craigslist compared to Split Lease.

What you need to know about the space:
• Available January 5st 2022 to OPEN.
• Furnished with a full size bed, bedside table, armchair and bookcase 
• Three windows

What you need to know about the apartment

• The room is located on the 2nd floor. I am renting another room on the same floor. The other room is on the opposite side.  
• shared a kitchenette with the second bedroom.
• New clean private bathroom
• Brand new hardwood floors
",,manhattan,Harlem / Morningside,1200,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
Perfect Furnished Home Feel Sunny Studio with 8 ft Windows for a Multi-local,"Perfect Furnished Sunny Studio with 8 ft windows, 12 ft ceilings! Featuring a Freshly remodeled open layout apartment in the up and coming South Bronx Historic district. 1 stop to Manhattan, 15 minutes to midtown.

This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

I can provide some flexibility for you to rearrange your dates after booking too! So don’t feel you have to know all the nights you need up front neither if you don’t need the six days, if you need less days of the week it can work too!. Let me know if you have any questions.

* Includes All utilities! Heat, Hot water, electric and Free Internet!

* Located on a quiet block in a nice brick Rowhouse

* New Kitchen Featuring SS appliances!

* Fresh New Bath with walk in shower

* Open Living/Kitchen/Bedroom

* Washer and Dryer in basement

*Excellent subway access Steps to the 2, 4, 5, and 6. 1 stop to Manhattan! 15 quick minutes to midtown.
",,bronx,,1600,0,TRUE,TRUE,laundry in bldg,no parking,0,1,1
"GHOST ROOMMATE Private Immaculate, Modern & Charming 1BD Apt in NJC","This stunning & contemporary apartment is positioned perfectly for ease & convenience. Flawlessly presented, it places you in the heart of everything the city has to offer, footsteps from excellent restaurants, amenities, and the entertainment scene. This property has been recently renovated and enjoys the added benefit of being located in a peacefully quiet neighborhood. Enjoying a brilliant location, this secure apartment with plenty of natural light is an exceptional place to live.

I’m seeking a ghost roommate situation in which someone would just need to be in the space for part of the week. You could leave some things to come back to each week and I would charge a nightly rate. This rate would be dependent on your total number of nights booked. I typically offer discounts for longer term/stays with more nights. Be sure to let me know if you have any questions, I’d be happy to chat. Also, don’t hesitate to reach out, I have flexibility in price and schedule. I can offer a discount here on Craigslist compared to Split Lease.

The open plan living/dining area is designed to capture the lights and breeze all year round. The bedroom is cozy, and the natural light that flows through makes a comfortable and relaxing personal space. The apartment boasts 1 bedroom with built-ins and a central stylish fully tiled bathroom.

- Within minutes from shops and the bus, to make commuting a breeze
- Radiator heating keeps residence cozy during the cooler months
- Window AC unit
- Just 3 blocks away from Branch Brook Park
- A 10 min drive to downtown Newark
- Comfortable patio area with a fire pit and a grill, perfect for entertaining
- Smoke alarms for safety
",,new jersey,,1632,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
